application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission
1,0,False,3.3,Business,Asian,620.0,3.0,Financial Services,1
2,1,False,3.28,Humanities,Black,680.0,5.0,Investment Management,0
3,0,True,3.3,Business,Unknown,710.0,5.0,Technology,1
4,1,False,3.47,STEM,Black,690.0,6.0,Technology,0
5,1,False,3.35,STEM,Hispanic,590.0,5.0,Consulting,0
6,1,False,3.18,Business,White,610.0,6.0,Consulting,0
7,0,False,2.93,STEM,Other,590.0,3.0,Technology,1
8,1,True,3.02,Business,Unknown,630.0,6.0,Financial Services,0
9,1,False,3.24,Business,White,590.0,2.0,Nonprofit/Gov,0
10,1,False,3.27,Humanities,Asian,690.0,3.0,Consulting,0
11,1,False,3.05,Humanities,White,580.0,5.0,Technology,0
12,1,True,2.85,Humanities,Unknown,580.0,4.0,PE/VC,0
14,0,False,3.39,Business,Black,690.0,4.0,Nonprofit/Gov,0
15,0,False,3.03,STEM,White,600.0,5.0,Technology,1
16,0,True,3.05,Humanities,Unknown,710.0,4.0,Consulting,1
17,0,False,3.32,Business,Asian,710.0,5.0,PE/VC,1
18,1,False,3.23,Humanities,Black,700.0,4.0,Health Care,0
19,1,False,3.13,Humanities,White,630.0,6.0,Financial Services,0
20,1,True,3.09,Business,Unknown,670.0,8.0,Consulting,0
21,1,False,3.46,Business,White,760.0,5.0,Investment Banking,1
22,0,False,3.64,Humanities,Black,710.0,6.0,Financial Services,0
23,0,True,3.42,Business,Unknown,640.0,6.0,Consulting,1
24,1,False,3.4,Business,White,680.0,6.0,PE/VC,0
25,0,False,3.47,STEM,White,710.0,5.0,Consulting,1
26,1,False,3.26,Humanities,Asian,690.0,5.0,Technology,1
27,1,True,2.99,STEM,Unknown,640.0,5.0,Consulting,0
28,1,False,3.39,STEM,Other,730.0,4.0,Other,0
29,1,False,3.08,Business,Asian,570.0,7.0,Retail,0
30,1,True,3.65,STEM,Unknown,700.0,5.0,Consulting,1
31,1,True,3.04,STEM,Unknown,610.0,4.0,Consulting,0
32,1,False,3.19,Humanities,White,580.0,5.0,PE/VC,0
33,1,False,3.33,Humanities,Black,700.0,6.0,Investment Banking,0
34,0,False,3.53,STEM,White,710.0,5.0,Consulting,1
35,1,False,3.5,Business,White,650.0,7.0,Consulting,0
36,1,True,3.22,Humanities,Unknown,670.0,4.0,Other,0
37,1,False,3.5,STEM,Hispanic,720.0,5.0,Health Care,0
38,0,False,3.16,STEM,Black,590.0,4.0,Investment Management,0
39,0,False,3.3,Humanities,Asian,740.0,6.0,Investment Banking,1
40,0,False,3.45,Humanities,Asian,640.0,3.0,PE/VC,1
41,0,True,3.12,Business,Unknown,610.0,4.0,PE/VC,1
42,0,True,3.41,Business,Unknown,600.0,7.0,Nonprofit/Gov,1
43,1,False,3.38,Humanities,Asian,720.0,5.0,Consulting,0
44,0,False,2.93,Humanities,Other,590.0,4.0,Consulting,1
45,1,False,3.27,STEM,Other,650.0,5.0,Consulting,0
46,1,False,3.32,STEM,Asian,730.0,4.0,Health Care,0
47,1,True,3.13,Humanities,Unknown,610.0,5.0,PE/VC,0
48,1,False,3.33,STEM,Hispanic,720.0,7.0,Consulting,1
49,1,False,3.23,STEM,Black,660.0,6.0,Other,0
50,1,False,3.38,STEM,Hispanic,680.0,5.0,Consulting,0
52,1,False,3.43,Business,Asian,650.0,4.0,Nonprofit/Gov,0
53,1,False,3.19,Business,White,650.0,5.0,Financial Services,0
54,0,False,3.23,STEM,Asian,700.0,6.0,PE/VC,1
55,1,False,2.96,STEM,Black,610.0,6.0,Consulting,0
56,0,False,3.44,STEM,Black,680.0,4.0,PE/VC,0
57,1,False,3.09,Business,Other,610.0,6.0,Consulting,0
58,0,True,3.05,Business,Unknown,650.0,7.0,Health Care,1
59,1,True,3.01,Humanities,Unknown,660.0,6.0,Consulting,0
60,1,False,3.41,Humanities,White,740.0,4.0,Financial Services,0
61,0,False,3.27,Business,White,670.0,5.0,Consulting,1
62,1,False,3.13,Humanities,Black,630.0,5.0,Financial Services,0
63,0,True,3.0,STEM,Unknown,640.0,3.0,Financial Services,1
64,1,False,3.36,STEM,Black,650.0,5.0,Technology,0
65,0,False,3.39,Humanities,White,680.0,5.0,Investment Banking,1
66,1,True,3.31,Business,Unknown,670.0,4.0,Nonprofit/Gov,0
67,1,False,3.07,STEM,Other,570.0,6.0,Other,0
68,1,False,3.53,STEM,White,690.0,5.0,Technology,0
69,1,False,3.49,Business,Black,620.0,4.0,Energy,0
70,1,False,3.41,Humanities,White,690.0,6.0,Technology,1
71,1,True,3.34,STEM,Unknown,690.0,5.0,Nonprofit/Gov,0
73,0,True,3.34,STEM,Unknown,680.0,5.0,PE/VC,1
74,0,True,2.89,Humanities,Unknown,670.0,5.0,Consulting,1
75,0,True,3.35,Business,Unknown,640.0,5.0,PE/VC,1
77,1,False,3.18,Humanities,Black,640.0,4.0,PE/VC,0
78,1,True,3.2,Humanities,Unknown,640.0,5.0,Nonprofit/Gov,0
79,1,False,3.17,Business,Hispanic,640.0,4.0,Other,0
80,0,False,3.1,STEM,Asian,680.0,4.0,Health Care,1
81,1,False,2.93,Humanities,Hispanic,620.0,4.0,Technology,0
82,1,True,3.2,STEM,Unknown,730.0,4.0,PE/VC,0
83,1,False,3.52,STEM,Hispanic,610.0,6.0,Consulting,0
84,0,False,3.35,Humanities,White,710.0,6.0,Consulting,1
85,1,False,3.15,STEM,Hispanic,620.0,4.0,PE/VC,0
86,1,False,3.21,Business,Hispanic,640.0,6.0,Nonprofit/Gov,0
87,1,False,3.1,Business,Hispanic,670.0,7.0,Financial Services,0
88,1,False,3.48,Business,White,710.0,5.0,Consulting,1
89,1,False,3.15,Humanities,Asian,650.0,6.0,Consulting,0
90,1,False,3.09,Business,Other,610.0,6.0,Consulting,0
91,0,False,3.14,Humanities,Hispanic,660.0,6.0,Consulting,0
92,1,False,2.97,STEM,Asian,580.0,4.0,Consulting,0
93,1,False,3.17,STEM,White,670.0,5.0,PE/VC,0
94,0,False,3.23,Humanities,White,620.0,7.0,Nonprofit/Gov,1
95,0,False,3.05,Humanities,White,600.0,5.0,Other,1
96,1,False,3.32,Business,Black,670.0,4.0,Consulting,1
97,1,False,3.08,Humanities,Asian,640.0,5.0,Technology,0
98,1,True,3.36,STEM,Unknown,690.0,5.0,CPG,0
99,1,False,3.1,Humanities,White,610.0,5.0,Health Care,0
100,0,False,3.38,Humanities,White,660.0,5.0,Consulting,1
101,1,False,3.26,Humanities,Hispanic,650.0,6.0,Real Estate,0
102,1,False,3.2,Humanities,Hispanic,600.0,4.0,Investment Banking,0
103,1,False,3.65,Humanities,Black,700.0,6.0,Health Care,0
104,0,True,3.34,Business,Unknown,650.0,5.0,Financial Services,1
105,0,False,3.3,Humanities,Hispanic,670.0,4.0,Nonprofit/Gov,1
106,1,False,3.11,Business,Asian,610.0,6.0,PE/VC,0
107,1,True,3.08,Humanities,Unknown,740.0,4.0,Health Care,0
108,1,False,3.2,STEM,White,590.0,5.0,Consulting,0
109,1,True,3.3,STEM,Unknown,590.0,5.0,Other,0
110,1,False,3.21,Humanities,Black,610.0,4.0,PE/VC,0
111,0,False,3.26,Humanities,Black,670.0,6.0,Consulting,0
112,0,False,3.29,STEM,Hispanic,640.0,6.0,Investment Banking,0
113,0,False,3.25,Humanities,Hispanic,640.0,5.0,Other,0
114,0,False,3.2,Humanities,Asian,680.0,7.0,Consulting,1
115,0,False,3.23,STEM,Asian,610.0,5.0,Nonprofit/Gov,1
116,1,False,3.32,Humanities,Hispanic,670.0,4.0,Media/Entertainment,0
117,0,False,3.46,STEM,White,660.0,5.0,Consulting,1
118,0,False,3.29,Humanities,Black,610.0,4.0,Consulting,0
119,1,False,3.33,Humanities,White,680.0,4.0,Financial Services,1
120,0,True,2.99,Humanities,Unknown,570.0,6.0,Real Estate,1
121,1,False,3.22,Business,Black,610.0,5.0,Technology,0
122,0,True,3.29,Business,Unknown,710.0,4.0,Consulting,1
123,1,True,3.26,Humanities,Unknown,650.0,4.0,PE/VC,0
124,1,False,3.25,Humanities,Asian,620.0,6.0,Technology,0
125,1,True,3.32,STEM,Unknown,630.0,6.0,Technology,0
126,1,False,3.44,Business,White,740.0,6.0,PE/VC,0
127,1,True,3.4,Humanities,Unknown,730.0,5.0,Nonprofit/Gov,0
128,0,False,3.51,Humanities,Black,700.0,7.0,Nonprofit/Gov,0
129,0,False,3.43,Humanities,Black,710.0,7.0,Other,0
130,0,False,3.27,Business,White,660.0,6.0,Other,1
131,1,False,3.34,Humanities,White,700.0,4.0,Consulting,1
132,1,False,3.07,Humanities,Other,640.0,6.0,Other,0
133,1,True,3.36,Humanities,Unknown,670.0,2.0,PE/VC,0
134,1,False,3.21,Humanities,White,690.0,7.0,Real Estate,0
135,0,False,3.28,Humanities,White,610.0,6.0,Consulting,1
136,0,False,3.06,Business,Black,650.0,5.0,Consulting,0
137,1,False,3.32,Business,White,670.0,4.0,Financial Services,0
138,1,True,3.33,Humanities,Unknown,670.0,5.0,Consulting,0
139,0,False,3.31,STEM,Asian,600.0,5.0,Investment Banking,1
140,1,False,3.16,STEM,Hispanic,570.0,5.0,Technology,0
141,1,False,3.2,STEM,Asian,600.0,6.0,Consulting,0
142,1,True,3.17,STEM,Unknown,600.0,4.0,Investment Banking,0
143,0,True,3.48,STEM,Unknown,780.0,5.0,PE/VC,1
144,1,False,3.1,STEM,Asian,570.0,5.0,Nonprofit/Gov,0
145,1,False,2.95,Business,Asian,590.0,5.0,Investment Management,0
146,1,False,3.32,Humanities,White,570.0,6.0,Technology,0
147,1,False,3.24,Humanities,Black,660.0,7.0,Investment Management,0
148,0,False,3.21,STEM,Black,580.0,6.0,Financial Services,0
149,1,False,3.32,Humanities,Asian,660.0,4.0,Investment Banking,0
150,1,False,3.2,Humanities,Hispanic,630.0,6.0,Technology,0
151,1,False,3.37,Business,Asian,710.0,5.0,Technology,1
152,1,False,3.14,Humanities,Asian,620.0,5.0,Technology,0
153,0,True,3.32,Humanities,Unknown,650.0,5.0,Real Estate,1
154,0,True,3.13,Business,Unknown,580.0,4.0,Consulting,1
155,0,False,3.55,Humanities,Asian,680.0,6.0,PE/VC,1
156,1,False,3.22,STEM,White,620.0,5.0,PE/VC,0
157,1,True,3.42,STEM,Unknown,630.0,6.0,Financial Services,0
158,0,False,3.18,STEM,Asian,650.0,6.0,Nonprofit/Gov,1
159,1,True,3.14,STEM,Unknown,620.0,6.0,Nonprofit/Gov,0
160,1,True,3.24,Humanities,Unknown,680.0,7.0,PE/VC,0
161,1,False,3.3,Business,White,630.0,3.0,PE/VC,0
162,0,False,3.2,STEM,White,610.0,4.0,Consulting,1
163,1,False,3.41,Humanities,Black,710.0,4.0,PE/VC,0
164,1,True,3.03,STEM,Unknown,570.0,5.0,Consulting,0
165,1,False,3.3,Humanities,Asian,640.0,9.0,Consulting,0
166,0,False,3.17,STEM,White,600.0,4.0,Nonprofit/Gov,1
167,0,False,3.43,Business,White,680.0,3.0,Consulting,1
168,1,False,3.36,STEM,Black,700.0,5.0,PE/VC,1
169,0,True,3.15,STEM,Unknown,650.0,5.0,Investment Banking,1
170,0,False,3.23,Business,Black,680.0,6.0,Health Care,1
171,0,False,3.36,Humanities,Asian,710.0,4.0,CPG,1
172,1,False,3.0,STEM,Asian,570.0,6.0,Financial Services,0
173,1,False,3.25,Humanities,Asian,640.0,7.0,PE/VC,0
174,1,False,3.15,Humanities,Hispanic,620.0,3.0,PE/VC,0
175,0,True,3.17,STEM,Unknown,630.0,6.0,Nonprofit/Gov,1
176,1,False,2.97,STEM,Asian,610.0,6.0,Technology,0
177,0,False,3.25,Humanities,White,670.0,5.0,Consulting,1
178,1,False,3.33,Humanities,Other,640.0,3.0,Other,0
179,1,False,3.43,Business,Asian,680.0,3.0,Consulting,0
180,1,True,3.17,Humanities,Unknown,670.0,4.0,Technology,0
181,1,True,3.4,Business,Unknown,750.0,4.0,Nonprofit/Gov,0
182,1,False,3.24,STEM,Black,600.0,5.0,Investment Management,0
183,1,False,3.34,Humanities,White,700.0,5.0,Consulting,1
184,1,True,3.29,Humanities,Unknown,660.0,6.0,Energy,0
185,1,True,3.04,Business,Unknown,660.0,6.0,Nonprofit/Gov,0
186,1,True,3.4,Humanities,Unknown,690.0,6.0,Other,1
187,1,True,3.01,Humanities,Unknown,670.0,6.0,Technology,0
188,1,False,3.54,STEM,Hispanic,700.0,5.0,Other,0
189,1,False,3.23,STEM,White,710.0,6.0,PE/VC,0
190,1,True,3.15,Humanities,Unknown,650.0,6.0,Consulting,0
191,0,False,3.32,Humanities,White,730.0,5.0,Nonprofit/Gov,1
192,1,False,3.47,Business,Asian,690.0,7.0,Investment Management,0
193,0,False,3.29,Business,Black,590.0,3.0,Real Estate,0
194,1,False,3.2,STEM,Asian,690.0,5.0,Energy,0
195,0,True,3.48,Humanities,Unknown,670.0,5.0,Financial Services,1
196,0,False,3.14,Business,White,600.0,3.0,Nonprofit/Gov,1
197,1,True,3.45,Humanities,Unknown,620.0,5.0,Consulting,0
198,1,False,3.31,STEM,Hispanic,620.0,3.0,PE/VC,0
199,0,False,3.6,Humanities,Other,670.0,5.0,Consulting,1
200,1,False,3.5,STEM,Hispanic,700.0,6.0,Investment Management,1
201,1,False,3.61,Business,Hispanic,690.0,5.0,Technology,0
202,1,False,3.11,STEM,Black,650.0,5.0,Financial Services,0
203,1,True,3.1,Humanities,Unknown,580.0,6.0,Consulting,0
204,1,True,3.06,STEM,Unknown,620.0,6.0,Nonprofit/Gov,0
205,1,True,3.18,Business,Unknown,630.0,3.0,Nonprofit/Gov,0
206,1,False,3.05,Humanities,White,570.0,8.0,Consulting,0
207,1,False,3.45,Humanities,Other,700.0,6.0,Consulting,1
208,0,True,3.26,Business,Unknown,630.0,6.0,Consulting,1
209,1,False,3.35,Business,White,660.0,5.0,Consulting,1
210,0,False,3.23,Business,White,670.0,5.0,Nonprofit/Gov,1
211,1,True,3.11,Business,Unknown,640.0,4.0,Nonprofit/Gov,0
212,0,False,3.44,Business,White,750.0,5.0,Technology,1
213,0,False,3.14,Humanities,Black,580.0,5.0,Technology,0
214,0,False,3.24,Business,White,660.0,6.0,Technology,1
215,1,True,3.43,Humanities,Unknown,610.0,5.0,Technology,0
216,1,False,3.27,STEM,Asian,600.0,5.0,PE/VC,0
217,1,False,3.41,Humanities,Asian,670.0,5.0,Consulting,0
218,0,False,3.02,Humanities,Asian,570.0,4.0,Consulting,1
219,1,False,3.24,STEM,White,670.0,3.0,Consulting,0
220,1,False,3.23,STEM,Black,630.0,5.0,Technology,0
221,1,False,3.09,Humanities,Asian,690.0,5.0,Other,0
222,1,False,3.64,STEM,Black,680.0,4.0,PE/VC,0
223,1,False,3.71,STEM,White,720.0,6.0,Other,0
224,0,False,3.19,Business,Asian,630.0,5.0,Investment Banking,1
225,0,False,3.24,STEM,Asian,670.0,4.0,Consulting,1
226,1,False,3.01,Humanities,Asian,610.0,4.0,PE/VC,0
227,1,False,3.4,Business,Asian,630.0,4.0,Consulting,0
228,0,False,3.18,Humanities,Black,650.0,5.0,Consulting,0
229,1,True,3.39,Humanities,Unknown,650.0,6.0,Other,0
